Condor_ID	Timestamp	X	Y	Z	Minutes	ObsVarXY	ObsVarZ	MoveVarXY	MoveVarZ
1	269	1/25/2007 5:00	650149.5	3442711	1670	0	25	89	500	120
2	269	1/25/2007 6:00	650133.5625	3442711	1670	60	25	89	500	120
3	269	1/25/2007 7:00	646481.125	3441255.25	2218	120	25	89	500	120
4	269	1/26/2007 13:00	658789.875	3436942.5	1630	1920	25	89	500	120
5	269	1/26/2007 14:00	661815.125	3435731.75	1490	1980	25	89	500	120
6	269	1/26/2007 15:00	656897.125	3435842.5	1589	2040	25	89	500	120
7	269	1/26/2007 16:00	656912.75	3435861.25	1578	2100	25	89	500	120
8	269	1/26/2007 17:00	656704.625	3435950.75	1550	2160	25	89	500	120
9	269	1/26/2007 20:00	656384.875	3436056.75	1439	2340	25	89	500	120
10	269	1/27/2007 5:00	656384.5625	3436075.25	1420	2880	25	89	500	120
11	269	1/27/2007 8:00	656622.9375	3436097.25	1420	3060	25	89	500	120
12	269	1/27/2007 9:00	656639.375	3436060.5	1390	3120	25	89	500	120
13	269	1/27/2007 10:00	653976.4375	3438664	1360	3180	25	89	500	120
14	269	1/27/2007 11:00	645365	3438006.25	2690	3240	25	89	500	120
15	269	1/27/2007 14:00	642892.6875	3436162	2850	3420	25	89	500	120
16	269	1/27/2007 15:00	671853.625	3433857	2380	3480	25	89	500	120
17	269	1/27/2007 16:00	678109.25	3443256	1400	3540	25	89	500	120
18	269	1/27/2007 17:00	677200	3443425.5	1190	3600	25	89	500	120
19	269	1/27/2007 18:00	678304.0625	3443019	1170	3660	25	89	500	120
20	269	1/27/2007 19:00	680244.5625	3442054	1130	3720	25	89	500	120
21	269	1/27/2007 20:00	680108.25	3442587.75	670	3780	25	89	500	120
22	269	1/28/2007 5:00	680124.5	3442569.5	674	4320	25	89	500	120
23	269	1/28/2007 6:00	680108.25	3442587.75	676	4380	25	89	500	120
24	269	1/28/2007 7:00	680108.25	3442587.75	690	4440	25	89	500	120
25	269	1/28/2007 8:00	680124.1875	3442588	680	4500	25	89	500	120
26	269	1/28/2007 9:00	680108.25	3442587.75	680	4560	25	89	500	120
27	269	1/28/2007 10:00	680698.375	3442486.75	680	4620	25	89	500	120
28	269	1/28/2007 11:00	693492.625	3435967	890	4680	25	89	500	120
29	269	1/28/2007 12:00	665006.9375	3436132	720	4740	25	89	500	120
30	269	1/28/2007 13:00	652615.75	3439272.5	1810	4800	25	89	500	120
31	269	1/28/2007 14:00	647011.9375	3438528	2180	4860	25	89	500	120
32	269	1/28/2007 15:00	647268.9375	3438346.75	2100	4920	25	89	500	120
33	269	1/28/2007 16:00	657131.0625	3436160.25	1430	4980	25	89	500	120
34	269	1/28/2007 17:00	657147	3436160.5	1400	5040	25	89	500	120
35	269	1/28/2007 18:00	657146.1875	3436216	1400	5100	25	89	500	120
36	269	1/28/2007 19:00	657162.0625	3436216	1400	5160	25	89	500	120
37	269	1/28/2007 20:00	657146.1875	3436216	1390	5220	25	89	500	120
38	269	1/29/2007 6:00	657162.375	3436197.75	1391	5820	25	89	500	120
39	269	1/29/2007 8:00	657161	3436290	1380	5940	25	89	500	120
40	269	1/29/2007 9:00	657286.5625	3436402.75	1390	6000	25	89	500	120
41	269	1/29/2007 10:00	657286.875	3436384.25	1360	6060	25	89	500	120
42	269	1/29/2007 11:00	649213.1875	3439205.5	2140	6120	25	89	500	120
43	269	1/29/2007 12:00	643280.6875	3435705.25	2930	6180	25	89	500	120
44	269	1/29/2007 15:00	654569.4375	3438358.5	1860	6360	25	89	500	120
45	269	1/29/2007 16:00	657038.9375	3435937	1650	6420	25	89	500	120
46	269	1/29/2007 17:00	657023.875	3435881.5	1640	6480	25	89	500	120
47	269	1/29/2007 18:00	656719.6875	3436006.25	1630	6540	25	89	500	120
48	269	1/29/2007 19:00	656752.625	3435932.75	1520	6600	25	89	500	120
49	269	1/29/2007 20:00	656768.25	3435951.5	1520	6660	25	89	500	120
50	269	1/30/2007 5:00	656752.625	3435932.75	1520	7200	25	89	500	120
51	269	1/30/2007 6:00	656768.5	3435933	1510	7260	25	89	500	120
52	269	1/30/2007 8:00	656990.6875	3435973.25	1510	7380	25	89	500	120
53	269	1/30/2007 9:00	656333.3125	3436314.75	1480	7440	25	89	500	120
54	269	1/30/2007 10:00	656483.875	3435818	1598	7500	25	89	500	120
55	269	1/30/2007 11:00	651681.5625	3438982	1650	7560	25	89	500	120
56	269	1/30/2007 12:00	654421.1875	3438707.25	1610	7620	25	89	500	120
57	269	1/30/2007 13:00	657287.125	3436365.75	1350	7680	25	89	500	120
58	269	1/30/2007 14:00	657097.0625	3436307.5	1350	7740	25	89	500	120
59	269	1/30/2007 15:00	657111.625	3436400.25	1298	7800	25	89	500	120
60	269	1/30/2007 16:00	658165.125	3440425.75	1540	7860	25	89	500	120
61	269	1/30/2007 17:00	657312.0625	3436828.25	1520	7920	25	89	500	120
62	269	1/30/2007 20:00	656467.375	3435854.75	1585	8100	25	89	500	120
63	269	1/31/2007 5:00	656467.375	3435854.75	1585	8640	25	89	500	120
64	269	1/31/2007 6:00	656257.875	3436036.5	1530	8700	25	89	500	120
65	269	1/31/2007 8:00	657161	3436290	1390	8820	25	89	500	120
66	269	1/31/2007 9:00	657161	3436290	1390	8880	25	89	500	120
67	269	1/31/2007 10:00	657147.25	3436142	1401	8940	25	89	500	120
68	269	1/31/2007 11:00	649925.75	3436055.75	2670	9000	25	89	500	120
69	269	1/31/2007 12:00	649965.125	3434393.5	2600	9060	25	89	500	120
70	269	1/31/2007 13:00	666584.8125	3436970	1510	9120	25	89	500	120
71	269	1/31/2007 14:00	650745.0625	3439966.25	2420	9180	25	89	500	120
72	269	1/31/2007 15:00	656419.6875	3435854	1610	9240	25	89	500	120
73	269	1/31/2007 16:00	656370.0625	3435982.75	1520	9300	25	89	500	120
74	269	1/31/2007 17:00	656369.5	3436019.5	1500	9360	25	89	500	120
75	269	1/31/2007 18:00	656369.25	3436038	1500	9420	25	89	500	120
76	269	1/31/2007 19:00	656369.5	3436019.5	1500	9480	25	89	500	120
77	269	1/31/2007 20:00	656369.5	3436019.5	1490	9540	25	89	500	120
78	269	2/1/2007 5:00	656369.25	3436038	1480	10080	25	89	500	120
79	269	2/1/2007 6:00	656369.5	3436019.5	1490	10140	25	89	500	120
80	269	2/1/2007 7:00	656353.625	3436019.25	1490	10200	25	89	500	120
81	269	2/1/2007 8:00	657225.6875	3436217	1480	10260	25	89	500	120
82	269	2/1/2007 9:00	657210.0625	3436198.25	1400	10320	25	89	500	120
83	269	2/1/2007 10:00	651553.8125	3440125.75	1410	10380	25	89	500	120
84	269	2/1/2007 11:00	638301.625	3432017.5	2484	10440	25	89	500	120
85	269	2/2/2007 11:00	635478.4375	3437505.75	2320	11880	25	89	500	120
86	269	2/2/2007 12:00	634203.375	3437711.25	1680	11940	25	89	500	120
87	269	2/2/2007 18:00	635865.25	3435866.25	2330	12300	25	89	500	120
88	269	2/2/2007 19:00	635930.5625	3435737.75	2240	12360	25	89	500	120
89	269	2/2/2007 20:00	635946.6875	3435719.5	2271	12420	25	89	500	120
90	269	2/3/2007 5:00	635930.5625	3435737.75	2244	12960	25	89	500	120
91	269	2/3/2007 6:00	635930.5625	3435737.75	2244	13020	25	89	500	120
92	269	2/3/2007 7:00	635930.5625	3435737.75	2244	13080	25	89	500	120
93	269	2/3/2007 8:00	635930.8125	3435719.25	2261	13140	25	89	500	120
94	269	2/3/2007 9:00	635930.5625	3435737.75	2240	13200	25	89	500	120
95	269	2/3/2007 10:00	635946.6875	3435719.5	2271	13260	25	89	500	120
96	269	2/3/2007 11:00	636054.25	3436016.5	2274	13320	25	89	500	120
97	269	2/3/2007 12:00	636392.0625	3435725.25	2440	13380	25	89	500	120
98	269	2/3/2007 19:00	635946.6875	3435719.5	2271	13800	25	89	500	120
99	269	2/3/2007 20:00	635946.9375	3435701	2289	13860	25	89	500	120
100	269	2/4/2007 7:00	635946.6875	3435719.5	2271	14520	25	89	500	120
101	269	2/4/2007 8:00	635946.9375	3435701	2289	14580	25	89	500	120
102	269	2/4/2007 14:00	636338.875	3436149.5	2560	14940	25	89	500	120
103	269	2/4/2007 15:00	651984.6875	3440021	2480	15000	25	89	500	120
104	269	2/4/2007 16:00	651217.375	3442523	1420	15060	25	89	500	120
105	269	2/4/2007 17:00	651166.5625	3442744	1400	15120	25	89	500	120
106	269	2/4/2007 18:00	650977.375	3442630.5	1260	15180	25	89	500	120
107	269	2/4/2007 19:00	650993.25	3442630.75	1280	15240	25	89	500	120
108	269	2/4/2007 20:00	650993	3442649.25	1280	15300	25	89	500	120
109	269	2/5/2007 5:00	650993.25	3442630.75	1270	15840	25	89	500	120
110	269	2/5/2007 6:00	650993.25	3442630.75	1270	15900	25	89	500	120
111	269	2/5/2007 7:00	651040.4375	3442668.25	1270	15960	25	89	500	120
112	269	2/5/2007 8:00	651056.3125	3442668.5	1260	16020	25	89	500	120
113	269	2/5/2007 9:00	651026.375	3442538.75	1270	16080	25	89	500	120
114	269	2/5/2007 10:00	653065.375	3440073.5	1270	16140	25	89	500	120
115	269	2/5/2007 11:00	657632.6875	3436666.5	1280	16200	25	89	500	120
116	269	2/5/2007 12:00	656940	3437247.75	1600	16260	25	89	500	120
117	269	2/5/2007 13:00	661422.375	3436446.5	1280	16320	25	89	500	120
118	269	2/5/2007 14:00	684208.6875	3433583.75	1120	16380	25	89	500	120
119	269	2/5/2007 15:00	695775.875	3434696.75	900	16440	25	89	500	120
120	269	2/5/2007 16:00	696436.125	3434283.75	580	16500	25	89	500	120
121	269	2/5/2007 17:00	696420.875	3434246.5	560	16560	25	89	500	120
122	269	2/5/2007 18:00	696838	3434069.5	510	16620	25	89	500	120
123	269	2/5/2007 19:00	696853.125	3433256.5	500	16680	25	89	500	120
124	269	2/5/2007 20:00	696819.5625	3433348.25	420	16740	25	89	500	120
125	269	2/6/2007 5:00	696819.1875	3433366.75	2087	17280	25	89	500	120
126	269	2/6/2007 6:00	696819.1875	3433366.75	430	17340	25	89	500	120
127	269	2/6/2007 7:00	696851.0625	3433367.25	430	17400	25	89	500	120
128	269	2/6/2007 8:00	696819.1875	3433366.75	420	17460	25	89	500	120
129	269	2/6/2007 9:00	696786.375	3433421.5	440	17520	25	89	500	120
130	269	2/6/2007 10:00	696122.6875	3434019.25	600	17580	25	89	500	120
131	269	2/6/2007 11:00	696122.6875	3434019.25	610	17640	25	89	500	120
132	269	2/6/2007 12:00	684429.5625	3435528.25	940	17700	25	89	500	120
133	269	2/6/2007 13:00	660743.5625	3438191.75	1160	17760	25	89	500	120
134	269	2/6/2007 14:00	653237.75	3439152.25	1660	17820	25	89	500	120
135	269	2/6/2007 15:00	657112.4375	3436344.75	1330	17880	25	89	500	120
136	269	2/6/2007 16:00	657112.4375	3436344.75	1330	17940	25	89	500	120
137	269	2/6/2007 18:00	656716.4375	3436228	1330	18060	25	89	500	120
138	269	2/6/2007 19:00	656669.5625	3436171.75	1341	18120	25	89	500	120
139	269	2/6/2007 20:00	656700.25	3436246.25	1320	18180	25	89	500	120
140	269	2/7/2007 5:00	656700.5625	3436227.75	1299	18720	25	89	500	120
141	269	2/7/2007 7:00	657047.75	3436417.75	1270	18840	25	89	500	120
142	269	2/7/2007 8:00	656871.9375	3436470.5	1250	18900	25	89	500	120
143	269	2/7/2007 9:00	657410.25	3436644.75	1116	18960	25	89	500	120
144	269	2/7/2007 10:00	657266.5625	3436679.75	1159	19020	25	89	500	120
145	269	2/7/2007 11:00	657250.6875	3436679.5	1158	19080	25	89	500	120
146	269	2/7/2007 12:00	644887.875	3437999.75	2840	19140	25	89	500	120
147	269	2/7/2007 13:00	641352.25	3434774	2720	19200	25	89	500	120
148	269	2/7/2007 14:00	645698.75	3434555.75	2630	19260	25	89	500	120
149	269	2/7/2007 15:00	634069.125	3424406.5	2380	19320	25	89	500	120
150	269	2/7/2007 16:00	634409.5	3431487.25	2330	19380	25	89	500	120
151	269	2/7/2007 17:00	650915.125	3442537.25	1160	19440	25	89	500	120
152	269	2/7/2007 18:00	651073.25	3442595	1190	19500	25	89	500	120
153	269	2/7/2007 19:00	651073	3442613.5	1210	19560	25	89	500	120
154	269	2/7/2007 20:00	651072.75	3442631.75	1160	19620	25	89	500	120
155	269	2/8/2007 5:00	651057.125	3442613.25	1150	20160	25	89	500	120
156	269	2/8/2007 6:00	651056.875	3442631.75	1160	20220	25	89	500	120
157	269	2/8/2007 7:00	651344.3125	3442543.25	1160	20280	25	89	500	120
158	269	2/8/2007 8:00	651567.875	3442472.75	1160	20340	25	89	500	120
159	269	2/8/2007 9:00	651804.75	3442587	1140	20400	25	89	500	120
160	269	2/8/2007 10:00	651805.5625	3442531.5	950	20460	25	89	500	120
161	269	2/8/2007 11:00	640440.625	3435131.5	2430	20520	25	89	500	120
162	269	2/9/2007 15:00	636311.0625	3437073	2220	22200	25	89	500	120
163	269	2/10/2007 20:00	635883.5625	3435681.75	2273	23940	25	89	500	120
164	269	2/11/2007 14:00	650147.8125	3446185	1700	25020	25	89	500	120
165	269	2/11/2007 15:00	653933.5625	3438330.75	1720	25080	25	89	500	120
166	269	2/11/2007 16:00	656690.0625	3435858	1710	25140	25	89	500	120
167	269	2/11/2007 17:00	656673.9375	3435876.25	1580	25200	25	89	500	120
168	269	2/11/2007 18:00	656498.6875	3435892.25	1570	25260	25	89	500	120
169	269	2/11/2007 19:00	656498.125	3435929	1560	25320	25	89	500	120
